epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2626,1.34116,2.31309,0.9175,0.99762,0.29143,0.35949,0.23681,0.95805,2.14554,0.81012,0.000469982,0.000469982,0.000469982
2,152.752,0.88954,0.94066,0.83591,0.97493,0.49271,0.55793,0.35532,0.79835,0.62976,0.80712,0.000927579,0.000927579,0.000927579
3,226.454,0.7842,0.76489,0.82839,0.95588,0.62377,0.63736,0.45467,0.56467,0.52415,0.7918,0.00136631,0.00136631,0.00136631
4,304.455,0.69671,0.69716,0.81488,0.97846,0.62068,0.66093,0.4862,0.5572,0.52803,0.7848,0.00134412,0.00134412,0.00134412
5,384.045,0.69065,0.69715,0.81695,0.9636,0.63301,0.75327,0.56506,0.4563,0.48127,0.78167,0.00131582,0.00131582,0.00131582
6,462.257,0.66375,0.63843,0.80915,0.98461,0.65036,0.7476,0.55642,0.47565,0.43778,0.78016,0.00128753,0.00128753,0.00128753
7,537.452,0.63798,0.62201,0.80557,0.86397,0.75492,0.8446,0.63366,0.40672,0.45323,0.77884,0.00125923,0.00125923,0.00125923
8,615.852,0.57894,0.65443,0.80181,0.88573,0.86535,0.86562,0.66144,0.39226,0.53345,0.77778,0.00123094,0.00123094,0.00123094
9,679.965,0.55729,0.5617,0.80032,0.88423,0.88789,0.87221,0.66394,0.46758,0.4199,0.77774,0.00120265,0.00120265,0.00120265
10,739.053,0.59618,0.58859,0.79962,0.88854,0.88103,0.87063,0.6643,0.43502,0.40683,0.77438,0.00117435,0.00117435,0.00117435
11,800.053,0.55306,0.53581,0.79698,0.89204,0.91127,0.8814,0.69238,0.4293,0.37373,0.77606,0.00114606,0.00114606,0.00114606
12,858.46,0.51041,0.51058,0.79719,0.8864,0.91218,0.88486,0.70259,0.40556,0.37608,0.771,0.00111776,0.00111776,0.00111776
13,917.144,0.50587,0.52397,0.79433,0.88661,0.90184,0.88063,0.67908,0.3267,0.3465,0.77083,0.00108947,0.00108947,0.00108947
14,976.261,0.51593,0.55393,0.7923,0.8836,0.91712,0.88007,0.70548,0.34542,0.36491,0.77157,0.00106118,0.00106118,0.00106118
15,1036.04,0.48862,0.49206,0.79116,0.89038,0.91826,0.88033,0.69606,0.37609,0.35565,0.77002,0.00103288,0.00103288,0.00103288
16,1095.75,0.47858,0.50122,0.79224,0.88042,0.90888,0.88059,0.72919,0.36279,0.34424,0.77021,0.00100459,0.00100459,0.00100459
17,1153.26,0.47434,0.48313,0.79065,0.88225,0.90551,0.87684,0.71464,0.35542,0.34721,0.76896,0.000976293,0.000976293,0.000976293
18,1213.36,0.48233,0.51714,0.78836,0.87937,0.91289,0.88661,0.72082,0.29441,0.33655,0.76804,0.000947999,0.000947999,0.000947999
19,1271.96,0.4675,0.49751,0.78826,0.88076,0.91912,0.88439,0.73171,0.3205,0.32306,0.7678,0.000919704,0.000919704,0.000919704
20,1328.85,0.46349,0.48045,0.78683,0.86725,0.91379,0.87863,0.73952,0.2839,0.30498,0.7663,0.00089141,0.00089141,0.00089141
21,1387.25,0.43962,0.50587,0.78724,0.87904,0.91124,0.87592,0.73,0.28922,0.30092,0.76687,0.000863116,0.000863116,0.000863116
22,1445.06,0.44142,0.4472,0.78861,0.88406,0.89138,0.88121,0.71269,0.33931,0.32522,0.76797,0.000834822,0.000834822,0.000834822
23,1502.66,0.45345,0.49228,0.78595,0.87702,0.91943,0.88097,0.71525,0.31519,0.32129,0.76743,0.000806528,0.000806528,0.000806528
24,1562.66,0.43365,0.46993,0.78473,0.88343,0.91243,0.87725,0.74509,0.30233,0.3054,0.76382,0.000778233,0.000778233,0.000778233
25,1620.65,0.42136,0.44026,0.78305,0.87444,0.91572,0.87664,0.73651,0.29207,0.31917,0.76597,0.000749939,0.000749939,0.000749939
26,1679.45,0.42051,0.45385,0.78199,0.87456,0.91431,0.8751,0.74432,0.28481,0.29723,0.76479,0.000721645,0.000721645,0.000721645
27,1737.46,0.41389,0.41885,0.78323,0.8738,0.91059,0.88132,0.74244,0.29548,0.28845,0.76471,0.000693351,0.000693351,0.000693351
28,1797.35,0.41746,0.42832,0.78041,0.87735,0.91414,0.88404,0.74279,0.29228,0.27336,0.76338,0.000665057,0.000665057,0.000665057
29,1856.75,0.41742,0.48552,0.78226,0.878,0.90936,0.87833,0.72183,0.29685,0.3238,0.76395,0.000636762,0.000636762,0.000636762
