epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.209,2.4881,5.38486,1.61025,0.00038,0.05332,0.00025,5e-05,1.80055,4.00267,1.31446,0.00051677,0.00051677,0.00051677
2,228.806,1.44483,2.41324,1.20128,0.01142,0.49052,0.44964,0.2602,1.38005,3.29742,1.14605,0.00101555,0.00101555,0.00101555
3,420.724,1.29712,1.92533,1.12354,0.97106,0.40497,0.82033,0.52632,1.27866,2.25102,1.13898,0.00147913,0.00147913,0.00147913
4,552.184,1.17453,1.54872,1.09749,0.72616,0.71782,0.84627,0.57682,1.13778,1.77302,1.06377,0.00150197,0.00150197,0.00150197
5,686.121,1.14189,1.35184,1.0898,0.79359,0.86077,0.84283,0.57286,1.11462,1.10033,1.0111,0.00144696,0.00144696,0.00144696
6,815.394,1.062,1.14757,1.00904,0.83366,0.897,0.87415,0.66605,0.8432,0.72684,0.92913,0.00139195,0.00139195,0.00139195
7,948.106,0.95828,1.01222,0.97579,0.65377,0.67261,0.83685,0.64476,0.8401,9.86758,0.93032,0.00133693,0.00133693,0.00133693
8,1081.42,0.96006,0.9522,0.95814,0.72287,0.77372,0.87132,0.6413,0.86443,1.63013,0.9246,0.00128192,0.00128192,0.00128192
9,1219.99,0.89759,0.87623,0.94172,0.81797,0.8992,0.87251,0.68682,0.75595,0.63355,0.88971,0.00122691,0.00122691,0.00122691
10,1357.49,0.92948,0.87484,0.96695,0.84553,0.90916,0.91508,0.71338,0.75427,0.62693,0.89791,0.0011719,0.0011719,0.0011719
11,1485.5,0.8955,0.81019,0.92014,0.8262,0.89537,0.88706,0.70103,0.71275,0.61323,0.87314,0.00111689,0.00111689,0.00111689
12,1607,0.84004,0.7312,0.90925,0.83887,0.89833,0.89381,0.70742,0.71922,0.61568,0.85767,0.00106188,0.00106188,0.00106188
13,1730.49,0.85712,0.73492,0.90573,0.83996,0.89978,0.89483,0.71282,0.72539,0.57536,0.84327,0.00100687,0.00100687,0.00100687
14,1854.89,0.79957,0.69803,0.89125,0.84961,0.90964,0.90898,0.72236,0.68297,0.54249,0.83528,0.000951857,0.000951857,0.000951857
15,1978.31,0.78107,0.65519,0.87956,0.84037,0.91393,0.90684,0.73515,0.65274,0.52273,0.83698,0.000896846,0.000896846,0.000896846
16,2102.32,0.74165,0.62535,0.8753,0.83186,0.90925,0.89947,0.75078,0.60538,0.50824,0.82798,0.000841835,0.000841835,0.000841835
17,2225.81,0.75668,0.62696,0.87577,0.84009,0.88641,0.90112,0.69707,0.72047,0.59297,0.84003,0.000786824,0.000786824,0.000786824
18,2349.7,0.79687,0.65608,0.88599,0.84331,0.90947,0.90452,0.74584,0.60957,0.51333,0.82209,0.000731813,0.000731813,0.000731813
19,2474.7,0.76898,0.62226,0.87193,0.85261,0.89423,0.90245,0.73605,0.6162,0.49772,0.82704,0.000676802,0.000676802,0.000676802
20,2601.03,0.75363,0.60785,0.87488,0.84849,0.88516,0.89887,0.7614,0.55896,0.46904,0.80831,0.000621791,0.000621791,0.000621791
21,2764.4,0.72949,0.64264,0.85551,0.81734,0.91226,0.89713,0.73625,0.58672,0.52153,0.81395,0.00056678,0.00056678,0.00056678
22,2849.6,0.67505,0.6067,0.84647,0.84891,0.91962,0.91042,0.75463,0.58105,0.51006,0.82021,0.000511769,0.000511769,0.000511769
23,2957.98,0.72762,0.62082,0.84892,0.83421,0.89877,0.89655,0.73011,0.5809,0.86394,0.81326,0.000456758,0.000456758,0.000456758
24,3071.08,0.64981,0.58048,0.83796,0.83504,0.90708,0.90394,0.73599,0.56837,0.50687,0.81769,0.000401747,0.000401747,0.000401747
25,3182.12,0.62626,0.5446,0.83235,0.83761,0.91611,0.90689,0.76514,0.53222,0.44659,0.80535,0.000346736,0.000346736,0.000346736
26,3293.71,0.60384,0.53766,0.82605,0.83064,0.91126,0.90613,0.7743,0.51428,0.42355,0.80292,0.000291725,0.000291725,0.000291725
27,3410.81,0.60748,0.54351,0.83045,0.83417,0.91386,0.90647,0.77533,0.5322,0.44519,0.80302,0.000236714,0.000236714,0.000236714
28,3521.59,0.59221,0.5232,0.82306,0.82951,0.91503,0.90562,0.76465,0.54609,0.43838,0.79607,0.000181703,0.000181703,0.000181703
29,3643.98,0.55216,0.52049,0.81376,0.82148,0.91418,0.90513,0.7812,0.46653,0.39852,0.79275,0.000126692,0.000126692,0.000126692
30,3786.19,0.55926,0.51405,0.81336,0.82367,0.91175,0.90056,0.78506,0.461,0.39596,0.79005,7.1681e-05,7.1681e-05,7.1681e-05
