epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.5063,3.92116,7.35067,2.61775,0.03071,0.11374,0.04768,0.0129,2.2467,4.48077,1.92365,0.00025005,0.00025005,0.00025005
2,201.17,1.98741,3.88058,1.62966,0.01536,0.15877,0.04133,0.01349,2.05515,4.12998,1.66106,0.000511657,0.000511657,0.000511657
3,316.81,1.64465,2.68285,1.54856,0.00546,0.04858,0.00487,0.00115,1.6093,3.6877,1.47363,0.000767985,0.000767985,0.000767985
4,433.263,1.51805,2.14596,1.46504,0.01193,0.2109,0.10026,0.05219,1.44934,3.17581,1.42678,0.00101903,0.00101903,0.00101903
5,543.027,1.44929,1.84014,1.45309,0.01097,0.68891,0.53146,0.35066,1.31003,2.79884,1.31452,0.00126481,0.00126481,0.00126481
6,656.907,1.42693,1.67261,1.40006,0.95452,0.24763,0.54843,0.34669,1.50026,2.47252,1.3718,0.0015053,0.0015053,0.0015053
7,772.415,1.37778,1.44266,1.40399,0.8533,0.49445,0.82494,0.53743,1.29724,1.90648,1.28685,0.00156803,0.00156803,0.00156803
8,883.703,1.34268,1.24891,1.37814,0.72888,0.82045,0.81568,0.51309,1.46763,1.16095,1.3504,0.00155154,0.00155154,0.00155154
9,998.618,1.31086,1.13688,1.36751,0.36892,0.69383,0.59491,0.37759,1.39968,4.97732,1.26441,0.00153504,0.00153504,0.00153504
10,1103.1,1.2604,0.98737,1.2682,0.72911,0.72337,0.84541,0.61547,1.00815,1.72906,1.21778,0.00151855,0.00151855,0.00151855
11,1205.2,1.15257,0.89636,1.26622,0.80769,0.90947,0.89821,0.62385,1.22927,0.78189,1.24736,0.00150205,0.00150205,0.00150205
12,1311.41,1.22111,0.86648,1.26151,0.59465,0.83135,0.82466,0.5683,1.27787,1.35942,1.25299,0.00148556,0.00148556,0.00148556
13,1411.31,1.08769,0.83054,1.23373,0.82188,0.87772,0.89044,0.6291,1.20933,0.74674,1.23097,0.00146906,0.00146906,0.00146906
14,1514.3,1.11608,0.78824,1.24788,0.77469,0.85627,0.89026,0.58502,1.28591,1.04571,1.23553,0.00145257,0.00145257,0.00145257
